#Time (s);Angle (degrees)
2.24514;64.7901
2.2569;64.2375
2.26978;63.7722
2.2839;63.4311
2.2992;63.261
2.3152;63.3051
2.33101;63.5715
2.34577;64.0197
2.35917;64.5939
2.37127;65.2482
2.38226;65.9565
2.39236;66.6999
2.40171;67.4694
2.41043;68.2578
2.41864;69.0597
2.4264;69.8742
2.43377;70.6968
2.44081;71.5266
2.44755;72.3627
2.45403;73.2042
2.46027;74.0502
2.46629;74.8998
2.47213;75.753
2.47778;76.6089
2.48328;77.4666
2.48862;78.3279
2.49383;79.1901
2.49891;80.055
2.50387;80.9217
2.50871;81.7893
2.51345;82.6587
2.5181;83.529
2.52265;84.4011
2.52711;85.2741
2.5315;86.148
2.5358;87.0228
2.54003;87.8985
2.54419;88.7751
2.54828;89.6517
2.5523;90.5301
2.55627;91.40877
2.56018;92.28798
2.56403;93.16791
2.56783;94.04838
2.57157;94.92939
2.57527;95.81085
2.57891;96.69276
2.58252;97.57521
2.58607;98.45802
2.58959;99.34137
2.59306;100.22499
2.5965;101.10906
2.59989;101.99349
2.60325;102.87819
2.60657;103.76325
2.60986;104.64867
2.61312;105.53436
2.61634;106.42023
2.61952;107.30646
2.62268;108.19305
2.62581;109.07973
2.62891;109.96677
2.63198;110.85399
2.63502;111.74148
2.63804;112.62915
2.64102;113.51709
2.64399;114.40521
2.64693;115.29351
2.64984;116.18208
2.65273;117.07074
2.6556;117.95967
2.65844;118.84869
2.66127;119.73789
2.66407;120.62727
2.66685;121.51683
2.6696;122.40648
2.67234;123.29631
2.67506;124.18632
2.67776;125.07642
2.68044;125.9667
2.6831;126.85716
2.68575;127.74771
2.68838;128.63835
2.69098;129.52917
2.69358;130.42017
2.69615;131.31108
2.69871;132.20226
2.70125;133.09344
2.70378;133.9848
2.70629;134.87634
2.70878;135.76788
2.71126;136.65942
2.71373;137.55123
2.71618;138.44313
2.71862;139.33503
2.72104;140.22711
2.72345;141.11919
2.72584;142.01145
2.72823;142.90371
2.7306;143.79615
2.73295;144.68859
2.7353;145.58112
2.73763;146.47374
2.73995;147.36636
2.74225;148.25916
2.74455;149.15205
2.74683;150.04503
2.7491;150.93801
2.75136;151.83108
2.75361;152.72424
2.75585;153.6174
2.75808;154.51065
2.76029;155.40399
2.7625;156.29742
2.7647;157.19085
2.76688;158.08446
2.76906;158.97798
2.77122;159.8715
2.77338;160.7652
2.77552;161.6589
2.77766;162.55269
2.77979;163.44648
2.7819;164.34036
2.78401;165.23442
2.78611;166.1283
2.7882;167.02245
2.79028;167.9166
2.79235;168.81075
2.79442;169.70499
2.79647;170.59923
2.79852;171.493515
2.80056;172.387818
2.80259;173.28222
2.80461;174.176676
2.80662;175.071141
2.80863;175.965687
2.81063;176.860269
2.81262;177.754842
2.8146;178.649478
2.81657;179.5441275
2.81854;180
2.8205;179.2139202
2.82273;178.325082
2.82497;177.436377
2.82722;176.547789
2.82948;175.659282
2.83175;174.770928
2.83403;173.8827
2.83632;172.994571
2.83863;172.106523
2.84095;171.218628
2.84328;170.33085
2.84562;169.44327
2.84797;168.55569
2.85034;167.66838
2.85272;166.78116
2.85512;165.89412
2.85752;165.00717
2.85995;164.1204
2.86238;163.23372
2.86483;162.34731
2.86729;161.46099
2.86977;160.57485
2.87226;159.6888
2.87477;158.80311
2.8773;157.91742
2.87983;157.032
2.88239;156.14676
2.88496;155.2617
2.88755;154.37682
2.89015;153.49221
2.89278;152.60778
2.89542;151.72353
2.89807;150.83946
2.90075;149.95575
2.90344;149.07213
2.90616;148.18878
2.90889;147.3057
2.91164;146.42289
2.91442;145.54035
2.91721;144.65799
2.92003;143.77599
2.92287;142.89426
2.92573;142.0128
2.92861;141.13161
2.93152;140.25078
2.93445;139.37022
2.9374;138.49002
2.94038;137.61018
2.94338;136.7307
2.94642;135.85158
2.94948;134.97291
2.95256;134.09451
2.95568;133.21656
2.95882;132.33906
2.962;131.46201
2.9652;130.58541
2.96844;129.70926
2.97171;128.83365
2.97502;127.95849
2.97836;127.08387
2.98174;126.20988
2.98515;125.33634
2.9886;124.46352
2.99209;123.59133
2.99563;122.71986
2.99921;121.84911
3.00283;120.97899
3.00649;120.10977
3.01021;119.24127
3.01397;118.37367
3.01779;117.50697
3.02166;116.64135
3.02558;115.77663
3.02957;114.91299
3.03361;114.05052
3.03772;113.18922
3.0419;112.32936
3.04615;111.47076
3.05047;110.61369
3.05486;109.75815
3.05934;108.90441
3.06391;108.05247
3.06857;107.20251
3.07332;106.35462
3.07818;105.50916
3.08314;104.66631
3.08823;103.82616
3.09343;102.98916
3.09877;102.15549
3.10426;101.3256
3.1099;100.49985
3.11572;99.67878
3.12171;98.86302
3.12791;98.05329
3.13433;97.2504
3.141;96.45543
3.14794;95.66964
3.15518;94.89474
3.16277;94.1328
3.17075;93.38661
3.17919;92.65959
3.18814;91.9566
3.1977;91.28421
3.20797;90.65196
3.21909;90.07308
3.23119;89.5671
3.2444;89.163
3.25877;88.8993
3.27407;88.8192
3.28968;88.9515
3.30477;89.2845
3.31874;89.7723
3.33145;90.36567
3.343;91.02951
3.35357;91.7406
3.36333;92.48463
3.3724;93.25269
3.38091;94.03866
3.38893;94.83858
3.39654;95.64957
3.40378;96.46956
3.41071;97.29684
3.41735;98.13033
3.42374;98.96895
3.4299;99.81216
3.43586;100.65924
3.44163;101.50974
3.44723;102.36321
3.45267;103.21938
3.45797;104.07798
3.46313;104.93865
3.46817;105.8013
3.47309;106.66566
3.47791;107.53164
3.48262;108.39915
3.48723;109.26792
3.49175;110.13795
3.49619;111.00906
3.50055;111.88134
3.50483;112.75452
3.50904;113.62869
3.51318;114.50376
3.51725;115.37955
3.52126;116.25606
3.5252;117.13338
3.52909;118.01133
3.53293;118.88991
3.53671;119.76912
3.54044;120.64887
3.54412;121.52907
3.54776;122.4099
3.55135;123.29109
3.55489;124.17282
3.5584;125.055
3.56186;125.93754
3.56528;126.82053
3.56867;127.70388
3.57202;128.58759
3.57533;129.47166
3.57861;130.356
3.58185;131.2407
3.58506;132.12567
3.58824;133.011
3.59139;133.8966
3.59451;134.78238
3.59761;135.66852
3.60067;136.55493
3.6037;137.44152
3.60671;138.32838
3.60969;139.21551
3.61265;140.10282
3.61558;140.99031
3.61849;141.87798
3.62137;142.76592
3.62424;143.65404
3.62707;144.54234
3.62989;145.43082
3.63269;146.31948
3.63546;147.20832
3.63822;148.09734
3.64095;148.98645
3.64366;149.87574
3.64636;150.76521
3.64903;151.65477
3.65169;152.54451
3.65433;153.43434
3.65695;154.32444
3.65956;155.21454
3.66215;156.10482
3.66472;156.99519
3.66727;157.88574
3.66981;158.77629
3.67233;159.66711
3.67484;160.55793
3.67733;161.44893
3.67981;162.34002
3.68227;163.2312
3.68472;164.12247
3.68715;165.01383
3.68957;165.90528
3.69198;166.79691
3.69437;167.68854
3.69675;168.58035
3.69911;169.47225
3.70147;170.36415
3.70381;171.256194
3.70614;172.148319
3.70845;173.040552
3.71076;173.932812
3.71305;174.825117
3.71533;175.717584
3.7176;176.61006
3.71986;177.502644
3.7221;178.395282
3.72434;179.2880019
3.72656;180
3.72878;179.2243458
3.73132;178.339536
3.73388;177.454854
3.73645;176.570406
3.73904;175.686147
3.74165;174.802113
3.74427;173.91825
3.74691;173.034612
3.74957;172.151244
3.75225;171.268101
3.75495;170.38521
3.75767;169.50249
3.7604;168.62013
3.76316;167.73795
3.76593;166.85604
3.76873;165.97449
3.77155;165.09321
3.77439;164.21211
3.77725;163.33146
3.78014;162.45108
3.78305;161.57097
3.78598;160.69122
3.78894;159.81183
3.79192;158.9328
3.79493;158.05413
3.79796;157.17582
3.80102;156.29796
3.80411;155.42046
3.80723;154.5435
3.81038;153.6669
3.81356;152.79075
3.81677;151.91505
3.82001;151.03989
3.82328;150.16527
3.82659;149.29119
3.82994;148.41765
3.83332;147.54465
3.83674;146.67237
3.84019;145.80072
3.84369;144.9297
3.84723;144.0594
3.85081;143.18982
3.85443;142.32096
3.8581;141.453
3.86182;140.58585
3.86559;139.7196
3.86941;138.85434
3.87329;137.99007
3.87722;137.12688
3.88121;136.26477
3.88526;135.40383
3.88937;134.54424
3.89355;133.686
3.8978;132.82911
3.90213;131.97384
3.90653;131.12028
3.91102;130.26843
3.91559;129.41856
3.92025;128.57067
3.92501;127.72512
3.92988;126.88191
3.93485;126.0414
3.93994;125.20386
3.94515;124.36947
3.9505;123.53868
3.95599;122.71176
3.96164;121.88925
3.96746;121.07151
3.97346;120.25935
3.97967;119.45349
3.98609;118.65474
3.99276;117.86427
3.99971;117.08343
4.00695;116.31384
4.01454;115.55775
4.02252;114.81786
4.03095;114.09786
4.03989;113.40279
4.04942;112.73922
4.05965;112.11669
4.0707;111.5487
4.0827;111.05442
4.09574;110.66139
4.10986;110.40597
4.12483;110.32794
4.14009;110.45259
4.15488;110.7702
4.16865;111.24027
4.18125;111.81735
4.19275;112.46661
4.2033;113.16519
4.21305;113.89869
4.22213;114.65757
4.23065;115.43562
4.23868;116.22861
4.2463;117.0333
4.25356;117.84762
4.2605;118.66977
4.26715;119.49858
4.27356;120.33306
4.27974;121.17222
4.28571;122.0157
4.29149;122.86269
4.2971;123.71301
4.30256;124.56621
4.30787;125.42184
4.31304;126.27981
4.31809;127.13985
4.32302;128.00187
4.32785;128.86551
4.33257;129.73077
4.33719;130.59738
4.34172;131.46534
4.34617;132.33465
4.35054;133.20495
4.35483;134.07642
4.35904;134.94879
4.36319;135.82215
4.36727;136.69641
4.37128;137.57139
4.37524;138.44727
4.37913;139.32369
4.38298;140.20083
4.38676;141.0786
4.3905;141.95709
4.39419;142.83594
4.39783;143.71542
4.40143;144.59553
4.40498;145.47609
4.40849;146.3571
4.41195;147.23847
4.41538;148.12029
4.41877;149.00256
4.42213;149.88519
4.42544;150.76809
4.42873;151.65144
4.43197;152.53515
4.43519;153.41913
4.43838;154.30347
4.44153;155.18808
4.44465;156.07305
4.44775;156.95838
4.45082;157.8438
4.45385;158.72949
4.45687;159.61545
4.45985;160.50168
4.46281;161.38818
4.46575;162.27486
4.46866;163.16181
4.47155;164.04894
4.47441;164.93625
4.47726;165.82383
4.48008;166.7115
4.48287;167.59935
4.48565;168.48747
4.48841;169.37568
4.49115;170.26416
4.49386;171.152721
4.49656;172.041498
4.49924;172.930356
4.5019;173.819502
4.50454;174.708792
4.50717;175.598109
4.50978;176.487651
4.51237;177.377292
4.51494;178.267095
4.5175;179.1569286
4.52004;180
4.52256;179.2357569
4.52549;178.356618
4.52844;177.477867
4.53142;176.599413
4.53442;175.721454
4.53745;174.843774
4.54051;173.966589
4.54359;173.089854
4.5467;172.213524
4.54984;171.337572
4.55302;170.46207
4.55622;169.58718
4.55945;168.71265
4.56272;167.83884
4.56602;166.96548
4.56936;166.09266
4.57273;165.22056
4.57614;164.349
4.57959;163.47807
4.58308;162.60786
4.58661;161.73828
4.59018;160.8696
4.59379;160.00173
4.59745;159.13458
4.60116;158.26842
4.60492;157.40307
4.60873;156.53871
4.61259;155.67534
4.6165;154.81314
4.62048;153.95202
4.62452;153.09225
4.62861;152.23365
4.63278;151.3764
4.63701;150.52077
4.64132;149.66658
4.64571;148.8141
4.65017;147.96342
4.65472;147.11472
4.65936;146.26809
4.66409;145.42371
4.66893;144.58185
4.67387;143.74269
4.67893;142.9065
4.68411;142.07346
